review_priority,priority_reason,source_obligation_id,parent_record_id,article_id,paragraph_id,article_title,rule_candidate_id,rule_candidate_summary,rule_family,logic_type,detection_target,sir_link_type,sir_candidate_fields,evidence_source,ready_for_v1,gemini_confidence,reviewer_note
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제20조:②:ob01,law_fincpa_main_2026-01-02:제20조:②,제20조,②,불공정영업행위의 금지,law_fincpa_main_2026-01-02:제20조:②:ob01:rule01,Refer to the Presidential Decree for the specific types and standards of prohibited unfair sales practices.,unfair_sales,delegated_detail,workflow_metadata,delegated_external_detail,fairness_guardrail|no_current_field,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree for detailed operational standards on unfair sales practices. The actual compliance rules must be derived from the corresponding Enforcement Decree.
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제21조의2:⑥:ob01,law_fincpa_main_2026-01-02:제21조의2:⑥,제21조의2,⑥,방문판매 및 전화권유판매 관련 준수사항,law_fincpa_main_2026-01-02:제21조의2:⑥:ob01:rule01,Ensure that the detailed procedures and requirements for door-to-door and telemarketing sales comply with the specific provisions delegated to and established under the Enforcement Decree.,solicitation,delegated_detail,workflow_metadata,delegated_external_detail,no_current_field,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual operational rules must be derived from the corresponding Enforcement Decree provisions governing door-to-door and telemarketing sales.
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제22조:①:ob02,law_fincpa_main_2026-01-02:제22조:①,제22조,①,금융상품등에 관한 광고 관련 준수사항,law_fincpa_main_2026-01-02:제22조:①:ob02:rule01,"Verify that any non-distributor entity conducting financial advertising is a legally permitted exception, such as a specified financial association or a financial holding company.",advertising,delegated_detail,workflow_metadata,delegated_external_detail,seller_identity|no_current_field,decree_reference,review,high,"This rule governs the legal eligibility of non-distributor entities (associations, holding companies) to run advertisements. It requires cross-referencing the entity's legal status with the Presidential Decree exceptions."
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제22조:②:ob01,law_fincpa_main_2026-01-02:제22조:②,제22조,②,금융상품등에 관한 광고 관련 준수사항,law_fincpa_main_2026-01-02:제22조:②:ob01:rule01,Ensure financial product advertisements are clear and fair to prevent consumer misunderstanding by establishing internal review standards and content guidelines.,advertising,principle_guardrail,content_text,principle_only,fairness_guardrail|prohibited_claim_signal,visible_content,review,high,"This is a high-level principle. While the core requirement is to prevent consumer misunderstanding in advertising content, operationalizing it requires linking to specific internal control standards or pre-clearance workflows."
high,high_priority_article|not_ready_for_v1|weak_sir_link,law_fincpa_main_2026-01-02:제22조:⑤:ob01,law_fincpa_main_2026-01-02:제22조:⑤,제22조,⑤,금융상품등에 관한 광고 관련 준수사항,law_fincpa_main_2026-01-02:제22조:⑤:ob01:rule01,금융상품 광고 시 표시·광고의 공정화에 관한 법률 제4조제1항에 따른 필수 표시·광고사항을 누락 없이 반영하고 관련 기준을 준수해야 한다.,advertising,required_presence,content_text,delegated_external_detail,fairness_guardrail|no_current_field,visible_content,review,high,This rule references the Fair Labeling and Advertising Act. Specific mandatory disclosure items must be cross-referenced with the enforcement decree of that Act to verify compliance in the actual advertisement content.
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제22조:⑦:ob01,law_fincpa_main_2026-01-02:제22조:⑦,제22조,⑦,금융상품등에 관한 광고 관련 준수사항,law_fincpa_main_2026-01-02:제22조:⑦:ob01:rule01,Ensure that all advertising methods and procedures comply with the specific requirements and standards prescribed by the Presidential Decree.,advertising,delegated_detail,workflow_metadata,delegated_external_detail,no_current_field,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. Concrete rules must be derived from the Enforcement Decree of the Financial Consumer Protection Act.
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제23조:①:ob02,law_fincpa_main_2026-01-02:제23조:①,제23조,①,계약서류의 제공의무,law_fincpa_main_2026-01-02:제23조:①:ob02:rule01,Verify that any exemption from providing contract documents is applied only to cases specified by the Presidential Decree where consumer protection is not compromised.,contract_documents,delegated_detail,workflow_metadata,delegated_external_detail,contract_document_delivery|no_current_field,decree_reference,review,high,This rule represents a conditional exemption. Full implementation requires cross-referencing the specific exemption criteria defined in the Enforcement Decree of the Financial Consumer Protection Act.
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제23조:③:ob01,law_fincpa_main_2026-01-02:제23조:③,제23조,③,계약서류의 제공의무,law_fincpa_main_2026-01-02:제23조:③:ob01:rule01,Ensure that the methods and procedures for delivering contract documents to consumers comply with the specific requirements prescribed by the Presidential Decree.,contract_documents,delegated_detail,workflow_metadata,delegated_external_detail,contract_document_delivery,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual operational rules must be derived from the Enforcement Decree of the Financial Consumer Protection Act.
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제25조:①:ob03,law_fincpa_main_2026-01-02:제25조:①,제25조,①,금융상품판매대리ㆍ중개업자의 금지행위,law_fincpa_main_2026-01-02:제25조:①:ob03:rule01,금융상품판매대리·중개업자는 소비자 보호 및 건전한 거래질서를 해칠 우려가 있어 대통령령으로 정하는 금지 행위를 수행해서는 안 된다.,intermediary,delegated_detail,workflow_metadata,delegated_external_detail,intermediary_status|prohibited_claim_signal,decree_reference,review,high,대통령령(시행령)에서 구체적으로 위임하여 규정하는 금지행위 세부 항목들을 연계하여 검증 규칙으로 구체화해야 합니다.
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제25조:③:ob01,law_fincpa_main_2026-01-02:제25조:③,제25조,③,금융상품판매대리ㆍ중개업자의 금지행위,law_fincpa_main_2026-01-02:제25조:③:ob01:rule01,금융상품판매대리·중개업자의 수수료 범위 및 재산상 이익의 구체적 제한 사항은 대통령령이 정하는 세부 기준을 준수하여야 한다.,intermediary,delegated_detail,workflow_metadata,delegated_external_detail,intermediary_status|no_current_field,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual compliance rules must be derived from the Enforcement Decree regarding prohibited fees and financial benefits for intermediaries.
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제26조:①:ob05,law_fincpa_main_2026-01-02:제26조:①,제26조,①,금융상품판매대리ㆍ중개업자의 고지의무 등,law_fincpa_main_2026-01-02:제26조:①:ob05:rule01,Disclose other matters prescribed by the Presidential Decree for consumer protection or sound market order during intermediary transactions.,intermediary,delegated_detail,workflow_metadata,delegated_external_detail,intermediary_status|no_current_field,decree_reference,review,high,This obligation is a delegation clause to the Enforcement Decree. The specific disclosure items must be retrieved from the corresponding Enforcement Decree provisions to establish a concrete rule.
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제26조:③:ob01,law_fincpa_main_2026-01-02:제26조:③,제26조,③,금융상품판매대리ㆍ중개업자의 고지의무 등,law_fincpa_main_2026-01-02:제26조:③:ob01:rule01,금융상품판매대리·중개업자의 표지 게시 및 증표 제시에 관한 구체적인 이행 요건은 대통령령(시행령)이 정하는 세부 기준을 준수하여 시스템 및 영업점에 반영해야 한다.,intermediary,delegated_detail,workflow_metadata,delegated_external_detail,intermediary_status|representative_identity,decree_reference,review,high,"본 조항은 구체적인 표지 게시 및 증표 제시 의무의 세부 사항을 대통령령으로 위임하고 있으므로, 시행령의 구체적 요건(규격, 기재사항 등)이 확정된 후 이를 검증하는 룰셋으로 연계되어야 합니다."
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제27조:②:ob01,law_fincpa_main_2026-01-02:제27조:②,제27조,②,금융상품자문업자의 영업행위준칙 등,law_fincpa_main_2026-01-02:제27조:②:ob01:rule01,Financial product advisors must establish and adhere to internal guidelines that define and verify the faithful performance of advisory duties to protect consumer interests.,advisory,principle_guardrail,record_system,principle_only,advisory_independence|internal_control_standard,record_archive,review,medium,"This represents a high-level fiduciary duty. While it is a general principle, compliance can be monitored by verifying the existence of internal control standards and advisory independence protocols."
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제27조:⑤:ob02,law_fincpa_main_2026-01-02:제27조:⑤,제27조,⑤,금융상품자문업자의 영업행위준칙 등,law_fincpa_main_2026-01-02:제27조:⑤:ob02:rule01,독립금융상품자문업자는 금융소비자와의 이해상충이 발생할 수 있는 대통령령으로 정하는 금지 행위를 수행하여서는 아니 된다.,advisory,delegated_detail,workflow_metadata,delegated_external_detail,advisory_independence|prohibited_claim_signal,decree_reference,review,high,대통령령(시행령)에서 구체적으로 규정하는 이해상충 행위 목록을 연계하여 검증 규칙을 구체화해야 하므로 v1 출시 전 추가 검토가 필요합니다.
high,high_priority_article|not_ready_for_v1|weak_sir_link,law_fincpa_main_2026-01-02:제28조:①:ob01,law_fincpa_main_2026-01-02:제28조:①,제28조,①,자료의 기록 및 유지ㆍ관리 등,law_fincpa_main_2026-01-02:제28조:①:ob01:rule01,Ensure that business-related materials prescribed by the Presidential Decree are systematically recorded and maintained.,recordkeeping,required_record,record_system,delegated_external_detail,activity_record|record_integrity_control,record_archive,review,high,The specific types of business materials to be recorded are delegated to the Presidential Decree. The rule candidate establishes the baseline requirement for recordkeeping systems to support these categories.
medium,high_priority_article|not_ready_for_v1,law_fincpa_main_2026-01-02:제17조:⑥:ob01,law_fincpa_main_2026-01-02:제17조:⑥,제17조,⑥,적합성원칙,law_fincpa_main_2026-01-02:제17조:⑥:ob01:rule01,금융상품판매업자등은 대통령령으로 정하는 자에게 적합성원칙 적용을 별도로 요청할 수 있음을 사전에 고지하여야 한다.,suitability,required_process,workflow_metadata,direct_workflow_field,consumer_type|suitability_check,workflow_log,review,high,대통령령으로 정하는 구체적인 대상자(예: 전문금융소비자 중 일부) 및 사전 고지 방식에 대한 시행령 상세 요건의 추가 연계가 필요합니다.
medium,high_priority_article|not_ready_for_v1,law_fincpa_main_2026-01-02:제20조:①:ob07,law_fincpa_main_2026-01-02:제20조:①,제20조,①,불공정영업행위의 금지,law_fincpa_main_2026-01-02:제20조:①:ob07:rule01,"금융상품 판매업자는 예외 사유 없이 연계·제휴서비스를 부당하게 축소하거나 변경하여서는 아니 되며, 축소·변경 시 대체 서비스 제공 등 법령상 예외 요건을 충족하고 이를 기록·관리하여야 한다.",unfair_sales,prohibited_presence,workflow_metadata,direct_workflow_field,product_core_terms|fairness_guardrail,workflow_log,review,high,대통령령으로 정하는 구체적인 예외 사유(대체 서비스 제공 등) 및 사전 고지 절차 준수 여부를 검증하기 위해 상품 조건 변경 이력 및 승인 워크플로우 로그 확인이 필요합니다.
medium,not_ready_for_v1|weak_sir_link,law_fincpa_main_2026-01-02:제21조의2:④:ob01,law_fincpa_main_2026-01-02:제21조의2:④,제21조의2,④,방문판매 및 전화권유판매 관련 준수사항,law_fincpa_main_2026-01-02:제21조의2:④:ob01:rule01,Establish and operate an internal control system to support compliance with door-to-door and telemarketing sales obligations.,internal_control,required_process,record_system,delegated_external_detail,internal_control_standard|activity_record,decree_reference,review,high,"This obligation mandates the establishment of a compliance system for door-to-door and telemarketing sales, with specific technical and operational requirements delegated to the Presidential Decree."
medium,high_priority_article|not_ready_for_v1,law_fincpa_main_2026-01-02:제22조:⑥:ob01,law_fincpa_main_2026-01-02:제22조:⑥,제22조,⑥,금융상품등에 관한 광고 관련 준수사항,law_fincpa_main_2026-01-02:제22조:⑥:ob01:rule01,Verify that the financial product distributor receives and logs the advertising review results and opinions from the relevant industry association prior to publishing the advertisement.,advertising,required_process,workflow_metadata,direct_workflow_field,activity_record|prohibited_claim_signal,workflow_log,review,medium,"This rule tracks the workflow step where the association's review results and opinions are received and integrated into the internal advertising approval process. Since the specific procedures are delegated to the Presidential Decree, this rule should be reviewed once the decree details are fully mapped."
medium,not_ready_for_v1|abstract_logic,law_fincpa_main_2026-01-02:제27조:①:ob01,law_fincpa_main_2026-01-02:제27조:①,제27조,①,금융상품자문업자의 영업행위준칙 등,law_fincpa_main_2026-01-02:제27조:①:ob01:rule01,Financial product advisors must establish and adhere to internal advisory standards that demonstrate the duty of care of a good manager during advisory workflows.,advisory,principle_guardrail,workflow_metadata,derived_decision_field,advisory_independence|internal_control_standard,workflow_log,review,medium,"This represents the high-level fiduciary duty of care for advisors. While a general principle, compliance can be monitored by verifying that advisory workflows follow established internal control standards and independence guidelines."
low,not_ready_for_v1,law_fincpa_main_2026-01-02:제14조:②:ob02,law_fincpa_main_2026-01-02:제14조:②,제14조,②,신의성실의무 등,law_fincpa_main_2026-01-02:제14조:②:ob02:rule01,Prohibit transactions or sales practices that unjustifiably harm financial consumers' interests to generate benefits for the financial sales agent or a third party.,general_principle,prohibited_presence,workflow_metadata,derived_decision_field,fairness_guardrail|prohibited_claim_signal,workflow_log,review,medium,"This is a broad anti-conflict of interest principle. While highly abstract, it can be operationalized by monitoring transaction routing, fee structures, or third-party referral flows that lack justifiable commercial reasons."
low,not_ready_for_v1,law_fincpa_main_2026-01-02:제15조:ob01,law_fincpa_main_2026-01-02:제15조,제15조,,차별금지,law_fincpa_main_2026-01-02:제15조:ob01:rule01,"금융상품 또는 금융상품자문 계약 체결 시 정당한 사유 없이 성별, 학력, 장애, 사회적 신분 등을 이유로 계약조건을 부당하게 차별하여 적용하는 행위를 금지한다.",general_principle,prohibited_presence,workflow_metadata,derived_decision_field,fairness_guardrail|consumer_profile,workflow_log,review,high,"계약 조건 결정 로직 및 심사 기준 상에 성별, 학력, 장애, 사회적 신분 등 차별 유발 요소가 부당하게 반영되었는지 검증하는 룰 설계가 필요합니다."
low,not_ready_for_v1,law_fincpa_main_2026-01-02:제16조:①:ob01,law_fincpa_main_2026-01-02:제16조:①,제16조,①,금융상품판매업자등의 관리책임,law_fincpa_main_2026-01-02:제16조:①:ob01:rule01,"Establish and execute internal control standards to supervise and manage employees and sales agents, ensuring compliance with financial laws and preventing market disruption.",internal_control,required_process,record_system,direct_record_field,internal_control_standard|staff_registry|activity_record,record_archive,review,high,"This rule requires verifying that internal control standards specifically govern employee and sales agent activities, excluding insurance brokers under Article 2, Paragraph 11 of the Insurance Business Act."
low,,law_fincpa_main_2026-01-02:제16조:②:ob01,law_fincpa_main_2026-01-02:제16조:②,제16조,②,금융상품판매업자등의 관리책임,law_fincpa_main_2026-01-02:제16조:②:ob01:rule01,"Establish and maintain internal control standards and procedures for executives, employees, and sales agents/brokers to comply with during their duties.",internal_control,required_presence,record_system,direct_record_field,internal_control_standard,record_archive,yes,high,"This rule requires corporate financial sales agents/brokers to establish internal control standards (내부통제기준) as mandated by Article 16, Paragraph 2."
low,,law_fincpa_main_2026-01-02:제16조의2:①:ob01,law_fincpa_main_2026-01-02:제16조의2:①,제16조의2,①,방문판매 및 전화권유판매 임직원의 명부 작성 등,law_fincpa_main_2026-01-02:제16조의2:①:ob01:rule01,Establish and maintain a registry of employees engaged in door-to-door sales and telemarketing as prescribed by the Presidential Decree.,recordkeeping,required_record,record_system,direct_record_field,staff_registry|activity_record,record_archive,yes,high,This rule requires financial sales business operators to maintain a structured registry of their door-to-door and telemarketing sales staff. The system must verify the existence and integrity of this registry.
low,,law_fincpa_main_2026-01-02:제16조의2:②:ob01,law_fincpa_main_2026-01-02:제16조의2:②,제16조의2,②,방문판매 및 전화권유판매 임직원의 명부 작성 등,law_fincpa_main_2026-01-02:제16조의2:②:ob01:rule01,금융소비자의 요청 시 방문판매 및 전화권유판매 임직원의 신원을 즉시 확인할 수 있는 시스템 또는 절차를 제공해야 한다.,intermediary,required_response,workflow_metadata,direct_workflow_field,representative_identity|staff_registry,workflow_log,yes,high,"금융소비자의 신원 확인 요청에 즉각 대응할 수 있는 시스템이나 절차(예: 신원확인증 제시, 콜센터 확인 등)를 마련해야 하므로 하부 설계가 필요합니다."
low,,law_fincpa_main_2026-01-02:제16조의2:③:ob01,law_fincpa_main_2026-01-02:제16조의2:③,제16조의2,③,방문판매 및 전화권유판매 임직원의 명부 작성 등,law_fincpa_main_2026-01-02:제16조의2:③:ob01:rule01,Ensure that the purpose of solicitation is disclosed to the financial consumer in advance of any door-to-door visit or phone call.,solicitation,required_process,workflow_metadata,direct_workflow_field,solicitation_purpose|representative_identity,workflow_log,yes,high,This rule requires system-level verification (such as call script logs or digital consent workflows) confirming that the representative disclosed the solicitation purpose before initiating the main sales pitch.
low,,law_fincpa_main_2026-01-02:제16조의2:③:ob02,law_fincpa_main_2026-01-02:제16조의2:③,제16조의2,③,방문판매 및 전화권유판매 임직원의 명부 작성 등,law_fincpa_main_2026-01-02:제16조의2:③:ob02:rule01,Ensure that the representative's name/identity and the type and details of the financial product being sold are disclosed to the consumer prior to door-to-door or telemarketing sales activities.,solicitation,required_presence,content_text,direct_content_field,representative_identity|product_identity|product_core_terms,visible_content,yes,high,"This rule maps directly to the mandatory disclosure of representative identity and product details during door-to-door or telemarketing sales, which can be verified via standard disclosure scripts or digital interfaces."
low,high_priority_article,law_fincpa_main_2026-01-02:제17조:①:ob01,law_fincpa_main_2026-01-02:제17조:①,제17조,①,적합성원칙,law_fincpa_main_2026-01-02:제17조:①:ob01:rule01,Verify and record whether the financial consumer is classified as a general consumer or a professional consumer prior to contract execution or advisory service delivery.,suitability,required_process,workflow_metadata,direct_workflow_field,consumer_type|consumer_profile,workflow_log,yes,high,This classification is a prerequisite for applying suitability and adequacy rules. The system must log the verification event and the resulting consumer type classification.
low,high_priority_article,law_fincpa_main_2026-01-02:제17조:②:ob01,law_fincpa_main_2026-01-02:제17조:②,제17조,②,적합성원칙,law_fincpa_main_2026-01-02:제17조:②:ob01:rule01,"When soliciting a general financial consumer, the seller must gather and identify consumer profile information tailored to the specific financial product type (protection, investment, loan, etc.) through interviews or questionnaires.",suitability,required_process,consumer_profile,direct_workflow_field,consumer_profile|suitability_check,consumer_profile_form,yes,high,This rule establishes the mandatory process of gathering consumer profile information tailored to the product type before any suitability assessment can proceed.
low,high_priority_article,law_fincpa_main_2026-01-02:제17조:②:ob02,law_fincpa_main_2026-01-02:제17조:②,제17조,②,적합성원칙,law_fincpa_main_2026-01-02:제17조:②:ob02:rule01,"Ensure that the consumer's profile information obtained for suitability assessment is confirmed by the consumer via signature, digital signature, recorded voice, or other prescribed methods, and that this confirmation record is maintained and managed.",suitability,required_record,record_system,direct_record_field,consumer_profile|suitability_check|activity_record|record_integrity_control,record_archive,yes,high,"This rule maps directly to the requirement of obtaining and maintaining consumer confirmation (signature, recording, etc.) on the gathered consumer profile under Article 17, Paragraph 2."
low,high_priority_article,law_fincpa_main_2026-01-02:제17조:②:ob03,law_fincpa_main_2026-01-02:제17조:②,제17조,②,적합성원칙,law_fincpa_main_2026-01-02:제17조:②:ob03:rule01,Verify that the confirmed consumer profile information is provided to the general financial consumer without delay after the suitability assessment.,suitability,required_process,workflow_metadata,direct_workflow_field,consumer_profile|suitability_check,workflow_log,yes,high,"This rule ensures compliance with the immediate delivery requirement of the confirmed suitability profile to the consumer, which can be verified via system logs showing the timestamp of confirmation versus the timestamp of delivery."
low,high_priority_article,law_fincpa_main_2026-01-02:제17조:③:ob01,law_fincpa_main_2026-01-02:제17조:③,제17조,③,적합성원칙,law_fincpa_main_2026-01-02:제17조:③:ob01:rule01,Ensure that no financial product is recommended or solicited to a general financial consumer if the product is assessed as unsuitable based on the consumer's profile.,suitability,prohibited_presence,workflow_metadata,derived_decision_field,consumer_profile|suitability_check,workflow_log,yes,high,This rule directly enforces the core suitability prohibition by comparing the consumer's suitability assessment result with the recommended product's risk rating in the workflow log.
low,high_priority_article,law_fincpa_main_2026-01-02:제17조:⑤:ob01,law_fincpa_main_2026-01-02:제17조:⑤,제17조,⑤,적합성원칙,law_fincpa_main_2026-01-02:제17조:⑤:ob01:rule01,Exempt suitability assessment requirements (paragraphs 1 through 3) when selling private equity funds to professional-type private collective investment schemes.,suitability,required_process,workflow_metadata,derived_decision_field,consumer_type|suitability_check,workflow_log,yes,high,This rule establishes a conditional exemption from suitability assessment workflows based on the specific product type (professional-type private collective investment scheme) and consumer profile.
low,high_priority_article,law_fincpa_main_2026-01-02:제17조:⑤:ob02,law_fincpa_main_2026-01-02:제17조:⑤,제17조,⑤,적합성원칙,law_fincpa_main_2026-01-02:제17조:⑤:ob02:rule01,"If a qualified investor who is a general financial consumer requests the application of the suitability principle, the system must process the request and apply the suitability assessment workflow.",suitability,required_process,workflow_metadata,direct_workflow_field,consumer_type|suitability_check,workflow_log,yes,high,This rule governs the workflow exception where a qualified investor requests to opt back into the suitability assessment framework. The system must log the request and trigger the suitability check.
low,high_priority_article,law_fincpa_main_2026-01-02:제18조:①:ob01,law_fincpa_main_2026-01-02:제18조:①,제18조,①,적정성원칙,law_fincpa_main_2026-01-02:제18조:①:ob01:rule01,Verify that consumer profile information for insurance (보장성) products is gathered through interviews or questionnaires before concluding a contract without prior solicitation.,adequacy,required_process,workflow_metadata,direct_workflow_field,consumer_profile|adequacy_check,consumer_profile_form,yes,high,This rule enforces the adequacy principle (적정성원칙) specifically for insurance products when a general consumer initiates a contract without solicitation.
low,high_priority_article,law_fincpa_main_2026-01-02:제18조:①:ob02,law_fincpa_main_2026-01-02:제18조:①,제18조,①,적정성원칙,law_fincpa_main_2026-01-02:제18조:①:ob02:rule01,Verify that consumer profile information for investment products is gathered via interview or questionnaire before concluding a contract without prior solicitation.,adequacy,required_process,workflow_metadata,direct_workflow_field,consumer_profile|adequacy_check,consumer_profile_form,yes,high,"This rule enforces the adequacy principle (적정성원칙) for investment products under Article 18, Paragraph 1, requiring active profile gathering even in non-solicited transactions."
