record_id,article_id,paragraph_id,article_title,section_id,section_title,page_start,normalized_text,priority_reason,deterministic_is_relevant_to_theme2,gemini_is_relevant_to_theme2,deterministic_topic_family,gemini_topic_family,deterministic_product_scope,gemini_product_scope,deterministic_channel_scope,gemini_channel_scope,deterministic_obligation_mode,gemini_obligation_mode,deterministic_needs_decomposition,gemini_needs_decomposition,gemini_confidence,deterministic_note,gemini_note,gemini_reasoning_summary
law_fincpa_main_2026-01-02:제17조:⑤,제17조,⑤,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,8,"금융상품판매업자등이 「자본시장과 금융투자업에 관한 법률」 제249조의2에 따른 전문투 자형 사모집합투자기구의 집합투자증권을 판매하는 경우에는 제1항부터 제3항까지의 규정 을 적용하지 아니한다. 다만, 같은 법 제249조의2에 따른 적격투자자 중 일반금융소비자 등 대통령령으로 정하는 자가 대통령령으로 정하는 바에 따라 요청하는 경우에는 그러하지 아 니하다.",product_scope|channel_scope|obligation_mode|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,investment,solicitation|advisory|contracting,solicitation|contracting,required_action,workflow_control,yes,no,high,Auto-prefill: suitability principle with product-specific consumer-information requirements.,This clause governs the scope of application of the suitability principle (적합성원칙) specifically for private equity funds (전문투자형 사모집합투자기구) and general financial consumers who qualify as eligible investors.,"The clause defines exceptions and conditional applications of the suitability assessment process under Article 17, making it a workflow control rule for investment products."
law_fincpa_main_2026-01-02:제17조:⑥,제17조,⑥,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,8,제5항에 따른 금융상품판매업자등은 같은 항 단서에 따라 대통령령으로 정하는 자에게 제1항부터 제3항까지의 규정의 적용을 별도로 요청할 수 있음을 대통령령으로 정하는 바에 따라 미리 알려야 한다.,product_scope|channel_scope|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,general,solicitation|advisory|contracting,solicitation|contracting,required_action,required_action,yes,no,high,Auto-prefill: suitability principle with product-specific consumer-information requirements.,This clause mandates that financial product distributors must notify certain professional/exempt consumers (as prescribed by Presidential Decree) in advance that they have the right to request the application of suitability principles (Paragraphs 1 through 3). This is a pre-contractual notification requirement linked to suitability assessment.,"The clause outlines a specific notification obligation regarding suitability principles for certain classes of consumers, making it highly relevant to consumer fit assessment and pre-contractual workflows."
law_fincpa_main_2026-01-02:제18조:①,제18조,①,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,9,"금융상품판매업자는 대통령령으로 각각 정하는 보장성 상품, 투자성 상 품 및 대출성 상품에 대하여 일반금융소비자에게 계약 체결을 권유하지 아니하고 금융상품 판매 계약을 체결하려는 경우에는 미리 면담ㆍ질문 등을 통하여 다음 각 호의 구분에 따른 정 보를 파악하여야 한다. 1. 보장성 상품: 제17조제2항제1호 각 목의 정보 2. 투자성 상품: 제17조제2항제2호 각 목의 정보 3. 대출성 상품: 제17조제2항제3호 각 목의 정보 4. 금융상품판매업자가 금융상품 판매 계약이 일반금융소비자에게 적정한지를 판단하는 데 필요하다고 인정되는 정보로서 대통령령으로 정하는 사항",obligation_mode,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,multiple,contracting,contracting,required_action,workflow_control,yes,yes,high,Auto-prefill: adequacy principle for non-solicited product sales.,"This clause establishes the Principle of Adequacy (적정성원칙) for insurance (보장성), investment (투자성), and loan (대출성) products when a contract is initiated without solicitation. It requires the seller to gather consumer profile information beforehand.","The clause explicitly governs the adequacy assessment process (적정성원칙) for multiple product types during the contracting phase without prior solicitation, making it highly relevant to consumer protection compliance."
law_fincpa_main_2026-01-02:제18조:②,제18조,②,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,9,"금융상품판매업자는 제1항 각 호의 구분에 따라 확인한 사항을 고려하여 해당 금융상품 이 그 일반금융소비자에게 적정하지 아니하다고 판단되는 경우에는 대통령령으로 정하는 바 에 따라 그 사실을 알리고, 그 일반금융소비자로부터 서명, 기명날인, 녹취, 그 밖에 대통령령 으로 정하는 방법으로 확인을 받아야 한다. 이 경우 적정성 판단 기준은 제1항 각 호의 구분 에 따라 대통령령으로 정한다.",channel_scope|obligation_mode|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,multiple,contracting,solicitation|contracting,required_action,workflow_control,yes,no,high,Auto-prefill: adequacy principle for non-solicited product sales.,"This clause outlines the operational workflow for the adequacy principle (적정성원칙), requiring the financial sales agent to notify the consumer if a product is deemed unsuitable and to obtain confirmation via signature, recording, or other prescribed methods.",The clause establishes a specific workflow control under the adequacy principle (적정성원칙) for cases where a product is determined to be inappropriate for a general consumer.
law_fincpa_main_2026-01-02:제18조:③,제18조,③,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,9,제1항에 따라 금융상품판매업자가 금융상품의 유형별로 파악하여야 하는 정보의 세부적 인 내용은 대통령령으로 정한다.,product_scope|channel_scope|obligation_mode|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,general,contracting,solicitation|contracting,required_action,required_content,yes,no,high,Auto-prefill: adequacy principle for non-solicited product sales.,This clause delegates the detailed content of information to be identified by financial product distributors under the adequacy principle (적정성원칙) to the Presidential Decree.,"The clause specifies the delegation of authority for determining the detailed information required for the adequacy principle assessment, which is a core component of consumer fit assessment."
law_fincpa_main_2026-01-02:제18조:④,제18조,④,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,9,"금융상품판매업자가 「자본시장과 금융투자업에 관한 법률」 제249조의2에 따른 전문투자 형 사모집합투자기구의 집합투자증권을 판매하는 경우에는 제1항과 제2항을 적용하지 아니 한다. 다만, 같은 법 제249조의2에 따른 적격투자자 중 일반금융소비자 등 대통령령으로 정 하는 자가 대통령령으로 정하는 바에 따라 요청하는 경우에는 그러하지 아니하다.",product_scope|channel_scope|obligation_mode|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,investment,contracting,solicitation|contracting,required_action,workflow_control,yes,no,high,Auto-prefill: adequacy principle for non-solicited product sales.,This clause governs the application of the adequacy principle (적정성원칙) specifically to private equity funds (전문투자형 사모집합투자기구) and general financial consumers qualifying as eligible investors under the Capital Markets Act.,"The clause defines exceptions and conditional applications of the adequacy principle for specific investment products, making it highly relevant to consumer fit assessment and investment product scope."
law_fincpa_main_2026-01-02:제18조:⑤,제18조,⑤,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,9,제4항에 따른 금융상품판매업자는 같은 항 단서에 따라 대통령령으로 정하는 자에게 제 1항과 제2항의 적용을 별도로 요청할 수 있음을 대통령령으로 정하는 바에 따라 미리 알려 야 한다.,product_scope|channel_scope|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,general,contracting,solicitation|contracting,required_action,required_action,yes,no,high,Auto-prefill: adequacy principle for non-solicited product sales.,This clause requires financial product distributors to notify certain eligible consumers in advance that they can request the application of suitability/adequacy principles (Paragraphs 1 and 2) under the conditions prescribed by Presidential Decree.,"The clause mandates a specific pre-contractual notification obligation regarding the consumer's right to request suitability assessment protections, falling under consumer_fit_assessment and required_action."
law_fincpa_main_2026-01-02:제19조:①,제19조,①,설명의무,제2절,금융상품 유형별 영업행위 준수사항,9,"금융상품판매업자등은 일반금융소비자에게 계약 체결을 권유(금융상품자 문업자가 자문에 응하는 것을 포함한다)하는 경우 및 일반금융소비자가 설명을 요청하는 경 우에는 다음 각 호의 금융상품에 관한 중요한 사항(일반금융소비자가 특정 사항에 대한 설명 만을 원하는 경우 해당 사항으로 한정한다)을 일반금융소비자가 이해할 수 있도록 설명하여 야 한다. 1. 다음 각 목의 구분에 따른 사항 가. 보장성 상품 1) 보장성 상품의 내용 2) 보험료(공제료를 포함한다. 이하 같다) 3) 보험금(공제금을 포함한다. 이하 같다) 지급제한 사유 및 지급절차 4) 위험보장의 범위 5) 그 밖에 위험보장 기간 등 보장성 상품에 관한 중요한 사항으로서 대통령령으로 정하는 사항 나. 투자성 상품 1) 투자성 상품의 내용 2) 투자에 따른 위험 3) 대통령령으로 정하는 투자성 상품의 경우 대통령령으로 정하는 기준에 따라 금융상품직 접판매업자가 정하는 위험등급 4) 그 밖에 금융소비자가 부담해야 하는 수수료 등 투자성 상품에 관한 중요한 사항으로서 대통령령으로 정하는 사항 다. 예금성 상품 1) 예금성 상품의 내용 2) 그 밖에 이자율, 수익률 등 예금성 상품에 관한 중요한 사항으로서 대통령령으로 정하는 사항 라. 대출성 상품 1) 금리 및 변동 여부, 중도상환수수료(금융소비자가 대출만기일이 도래하기 전 대출금의 전부 또는 일부를 상환하는 경우에 부과하는 수수료를 의미한다. 이하 같다) 부과 여부 ㆍ기간 및 수수료율 등 대출성 상품의 내용 2) 상환방법에 따른 상환금액ㆍ이자율ㆍ시기 3) 저당권 등 담보권 설정에 관한 사항, 담보권 실행사유 및 담보권 실행에 따른 담보목적 물의 소유권 상실 등 권리변동에 관한 사항 4) 대출원리금, 수수료 등 금융소비자가 대출계약을 체결하는 경우 부담하여야 하는 금액 의 총액 5) 그 밖에 대출계약의 해지에 관한 사항 등 대출성 상품에 관한 중요한 사항으로서 대통 령령으로 정하는 사항 2. 제1호 각 목의 금융상품과 연계되거나 제휴된 금융상품 또는 서비스 등(이하 “연계ㆍ제휴 서비스등”이라 한다)이 있는 경우 다음 각 목의 사항 가. 연계ㆍ제휴서비스등의 내용 나. 연계ㆍ제휴서비스등의 이행책임에 관한 사항 다. 그 밖에 연계ㆍ제휴서비스등의 제공기간 등 연계ㆍ제휴서비스등에 관한 중요한 사항으 로서 대통령령으로 정하는 사항 3. 제46조에 따른 청약 철회의 기한ㆍ행사방법ㆍ효과에 관한 사항 4. 그 밖에 금융소비자 보호를 위하여 대통령령으로 정하는 사항",channel_scope|obligation_mode,yes,yes,explanation_duty,explanation_duty,multiple,multiple,solicitation|advisory|contracting|all_customer_facing,solicitation|contracting,required_action,required_content,yes,yes,high,Auto-prefill: explanation duty and explanation materials.,"This is the core explanation duty clause (Article 19 Paragraph 1) covering all four major financial product categories (insurance, investment, deposit, loan) and specifying the mandatory disclosure items for each.","The clause explicitly mandates explanation duties during solicitation or upon consumer request, detailing specific disclosure items for insurance, investment, deposit, and loan products."
law_fincpa_main_2026-01-02:제19조:②,제19조,②,설명의무,제2절,금융상품 유형별 영업행위 준수사항,9,"금융상품판매업자등은 제1항에 따른 설명에 필요한 설명서를 일반금융소비자에게 제공 하여야 하며, 설명한 내용을 일반금융소비자가 이해하였음을 서명, 기명날인, 녹취 또는 그 밖에 대통령령으로 정하는 방법으로 확인을 받아야 한다. 다만, 금융소비자 보호 및 건전한 거래질서를 해칠 우려가 없는 경우로서 대통령령으로 정하는 경우에는 설명서를 제공하지 아니할 수 있다.",product_scope|channel_scope|obligation_mode,yes,yes,explanation_duty,explanation_duty,multiple,general,solicitation|advisory|contracting|all_customer_facing,contracting|solicitation,required_action,workflow_control,yes,yes,high,Auto-prefill: explanation duty and explanation materials.,"This clause mandates the provision of product explanation documents to general financial consumers and requires obtaining confirmation of understanding via signature, seal, recording, or other prescribed methods, with exceptions defined by Presidential Decree.","The clause directly regulates the operational workflow of the explanation duty, specifically the delivery of disclosure documents and the formal verification of consumer understanding."
law_fincpa_main_2026-01-02:제19조:③,제19조,③,설명의무,제2절,금융상품 유형별 영업행위 준수사항,9,금융상품판매업자등은 제1항에 따른 설명을 할 때 일반금융소비자의 합리적인 판단 또는 금융상품의 가치에 중대한 영향을 미칠 수 있는 사항으로서 대통령령으로 정하는 사항을 거 짓으로 또는 왜곡(불확실한 사항에 대하여 단정적 판단을 제공하거나 확실하다고 오인하게 할 소지가 있는 내용을 알리는 행위를 말한다)하여 설명하거나 대통령령으로 정하는 중요한 사항을 빠뜨려서는 아니 된다.,product_scope|channel_scope|needs_decomposition,yes,yes,explanation_duty,explanation_duty,multiple,general,solicitation|advisory|contracting|all_customer_facing,solicitation|contracting,prohibited_action,prohibited_action,yes,no,high,Auto-prefill: explanation duty clause with explicit false/omitted explanation prohibition.,"This clause prohibits misrepresentation, distortion, or omission of material facts during the explanation process to general financial consumers.","The clause directly governs the explanation duty (설명의무) under Article 19, Paragraph 3, specifically prohibiting false, distorted, or omitted explanations of material facts. It applies generally to all financial products and is a core prohibited action during customer-facing solicitation and contracting."
law_fincpa_main_2026-01-02:제19조:④,제19조,④,설명의무,제2절,금융상품 유형별 영업행위 준수사항,9,제2항에 따른 설명서의 내용 및 제공 방법ㆍ절차에 관한 세부내용은 대통령령으로 정한 다.,product_scope|channel_scope|obligation_mode|needs_decomposition,yes,yes,explanation_duty,explanation_duty,multiple,general,solicitation|advisory|contracting|all_customer_facing,contracting,required_action,workflow_control,yes,no,high,Auto-prefill: explanation duty and explanation materials.,"This clause delegates the detailed content, delivery methods, and procedures of the explanatory statement to the Presidential Decree.",The clause governs the procedural and content requirements of the explanation duty (설명의무) by delegating specific details to subordinate legislation.
law_fincpa_main_2026-01-02:제20조:①,제20조,①,불공정영업행위의 금지,제2절,금융상품 유형별 영업행위 준수사항,11,"금융상품판매업자등은 우월적 지위를 이용하여 금융소비자 의 권익을 침해하는 다음 각 호의 어느 하나에 해당하는 행위(이하 “불공정영업행위”라 한다 )를 해서는 아니 된다. 1. 대출성 상품, 그 밖에 대통령령으로 정하는 금융상품에 관한 계약체결과 관련하여 금융소 비자의 의사에 반하여 다른 금융상품의 계약체결을 강요하는 행위 2. 대출성 상품, 그 밖에 대통령령으로 정하는 금융상품에 관한 계약체결과 관련하여 부당하 게 담보를 요구하거나 보증을 요구하는 행위 3. 금융상품판매업자등 또는 그 임직원이 업무와 관련하여 편익을 요구하거나 제공받는 행 위 4. 대출성 상품의 경우 다음 각 목의 어느 하나에 해당하는 행위 가. 자기 또는 제3자의 이익을 위하여 금융소비자에게 특정 대출 상환방식을 강요하는 행 위 나. 1)부터 3)까지의 경우를 제외하고 수수료, 위약금 또는 그 밖에 어떤 명목이든 중도상환 수수료를 부과하는 행위 1) 대출계약이 성립한 날부터 3년 이내에 상환하는 경우 2) 다른 법령에 따라 중도상환수수료 부과가 허용되는 경우 3) 금융소비자 보호 및 건전한 거래질서를 해칠 우려가 없는 행위로서 대통령령으로 정하 는 경우 다. 개인에 대한 대출 등 대통령령으로 정하는 대출상품의 계약과 관련하여 제3자의 연대 보증을 요구하는 경우 5. 연계ㆍ제휴서비스등이 있는 경우 연계ㆍ제휴서비스등을 부당하게 축소하거나 변경하는 행위로서 대통령령으로 정하는 행위. 다만, 연계ㆍ제휴서비스등을 불가피하게 축소하거나 변경하더라도 금융소비자에게 그에 상응하는 다른 연계ㆍ제휴서비스등을 제공하는 경우 와 금융상품판매업자등의 휴업ㆍ파산ㆍ경영상의 위기 등에 따른 불가피한 경우는 제외한 다. 6. 그 밖에 금융상품판매업자등이 우월적 지위를 이용하여 금융소비자의 권익을 침해하는 행위",channel_scope,yes,yes,unfair_sales_practice,unfair_sales_practice,multiple,multiple,solicitation|contracting|all_customer_facing,contracting|solicitation,prohibited_action,prohibited_action,yes,yes,high,Auto-prefill: unfair sales practices prohibition.,"This clause prohibits unfair sales practices (tying, demanding excessive collateral/guarantees, charging unauthorized early repayment fees, etc.) primarily focused on loan products but also covering other financial products as prescribed by Presidential Decree.","The clause explicitly defines and prohibits unfair sales practices (불공정영업행위의 금지) under Article 20 Paragraph 1, making it highly relevant to unfair_sales_practice. It covers multiple product types (specifically highlighting loans) and applies to contracting and solicitation channels."
law_fincpa_main_2026-01-02:제20조:②,제20조,②,불공정영업행위의 금지,제2절,금융상품 유형별 영업행위 준수사항,11,불공정영업행위에 관하여 구체적인 유형 또는 기준은 대통령령으로 정한다.,product_scope|channel_scope|needs_decomposition,yes,yes,unfair_sales_practice,unfair_sales_practice,multiple,general,solicitation|contracting|all_customer_facing,all_customer_facing,prohibited_action,prohibited_action,yes,no,high,Auto-prefill: unfair sales practices prohibition.,This clause states that the specific types or standards of unfair sales practices will be determined by Presidential Decree. It serves as a delegation provision for unfair sales practices.,The clause delegates the specific criteria for unfair sales practices to the Presidential Decree. It is directly relevant to the unfair sales practice topic family and applies generally across products and customer-facing channels.
