review_priority,priority_reason,parent_record_id,obligation_id,article_id,paragraph_id,article_title,parent_topic_family,parent_decomposition_strategy,obligation_label,obligation_summary,source_span_text,product_scope,channel_scope,obligation_mode,trigger_type,operationality,consumer_visibility,gemini_confidence,reviewer_note
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제18조:①,law_fincpa_main_2026-01-02:제18조:①:ob04,제18조,①,적정성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제18조:①:4,Gather additional information prescribed by Presidential Decree necessary to determine adequacy before contracting without solicitation.,금융상품판매업자가 금융상품 판매 계약이 일반금융소비자에게 적정한지를 판단하는 데 필요하다고 인정되는 정보로서 대통령령으로 정하는 사항,multiple,contracting,workflow_control,delegated_detail,delegated_to_decree,consumer_facing,high,Requires checking the Enforcement Decree for additional mandatory data points to assess adequacy.
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제18조:②,law_fincpa_main_2026-01-02:제18조:②:ob01,제18조,②,적정성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제18조:②:01,Notify the general financial consumer if a product is determined to be unsuitable based on the adequacy assessment.,해당 금융상품 이 그 일반금융소비자에게 적정하지 아니하다고 판단되는 경우에는 대통령령으로 정하는 바 에 따라 그 사실을 알리고,multiple,solicitation|contracting,workflow_control,must_do,needs_subrule_design,consumer_facing,high,Requires integration into the sales workflow to trigger an unsuitability alert/notification to the consumer.
high,high_priority_article|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제18조:③,law_fincpa_main_2026-01-02:제18조:③:ob01,제18조,③,적정성원칙,consumer_fit_assessment,single_unit,law_fincpa_main_2026-01-02:제18조:③:01,Identify the detailed content of information for the adequacy principle as prescribed by the Presidential Decree.,금융상품판매업자가 금융상품의 유형별로 파악하여야 하는 정보의 세부적 인 내용은 대통령령으로 정한다,general,solicitation|contracting,required_content,delegated_detail,delegated_to_decree,internal_only,high,This is a delegation clause pointing to the Presidential Decree for the specific details of the information to be collected under the adequacy principle.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제18조:④,law_fincpa_main_2026-01-02:제18조:④:ob01,제18조,④,적정성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제18조:④:1,Exempt the application of the adequacy principle (Paragraphs 1 and 2) when selling private equity investment securities under the Capital Markets Act.,금융상품판매업자가 「자본시장과 금융투자업에 관한 법률」 제249조의2에 따른 전문투자 형 사모집합투자기구의 집합투자증권을 판매하는 경우에는 제1항과 제2항을 적용하지 아니 한다.,investment,solicitation|contracting,workflow_control,must_do,direct_checkable,internal_only,high,This establishes the baseline exemption rule for private equity fund sales.
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제18조:④,law_fincpa_main_2026-01-02:제18조:④:ob02,제18조,④,적정성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제18조:④:2,Apply the adequacy principle to private equity sales if requested by eligible general financial consumers as prescribed by Presidential Decree.,"다만, 같은 법 제249조의2에 따른 적격투자자 중 일반금융소비자 등 대통령령으로 정 하는 자가 대통령령으로 정하는 바에 따라 요청하는 경우에는 그러하지 아니하다.",investment,solicitation|contracting,workflow_control,must_do,needs_subrule_design,consumer_facing,high,"This is a critical exception to the exemption, requiring system capability to process consumer requests for adequacy assessment."
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:①,law_fincpa_main_2026-01-02:제19조:①:ob01,제19조,①,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:①:보장성,"보장성 상품 권유 또는 설명 요청 시 보험료, 지급제한 사유, 위험보장 범위 등 중요 사항을 일반금융소비자에게 설명해야 함",가. 보장성 상품 1) 보장성 상품의 내용 2) 보험료... 3) 보험금... 지급제한 사유 및 지급절차 4) 위험보장의 범위 5) 그 밖에 위험보장 기간 등 보장성 상품에 관한 중요한 사항으로서 대통령령으로 정하는 사항,insurance,solicitation|contracting,required_content,must_do,needs_subrule_design,consumer_facing,high,보장성 상품(보험 등)에 특화된 설명의무 항목을 규정함
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:①,law_fincpa_main_2026-01-02:제19조:①:ob02,제19조,①,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:①:투자성,"투자성 상품 권유 또는 설명 요청 시 상품 내용, 투자 위험, 위험등급, 수수료 등 중요 사항을 일반금융소비자에게 설명해야 함",나. 투자성 상품 1) 투자성 상품의 내용 2) 투자에 따른 위험 3) ...위험등급 4) 그 밖에 금융소비자가 부담해야 하는 수수료 등 투자성 상품에 관한 중요한 사항으로서 대통령령으로 정하는 사항,investment,solicitation|contracting,required_content,must_do,needs_subrule_design,consumer_facing,high,투자성 상품에 특화된 설명의무 항목으로 투자위험 및 위험등급 고지가 핵심임
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:①,law_fincpa_main_2026-01-02:제19조:①:ob03,제19조,①,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:①:예금성,"예금성 상품 권유 또는 설명 요청 시 상품 내용, 이자율, 수익률 등 중요 사항을 일반금융소비자에게 설명해야 함","다. 예금성 상품 1) 예금성 상품의 내용 2) 그 밖에 이자율, 수익률 등 예금성 상품에 관한 중요한 사항으로서 대통령령으로 정하는 사항",deposit,solicitation|contracting,required_content,must_do,needs_subrule_design,consumer_facing,high,예금성 상품에 특화된 설명의무 항목을 규정함
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:①,law_fincpa_main_2026-01-02:제19조:①:ob04,제19조,①,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:①:대출성,"대출성 상품 권유 또는 설명 요청 시 금리 변동 여부, 중도상환수수료, 담보권 설정, 총 부담 금액 등 중요 사항을 일반금융소비자에게 설명해야 함","라. 대출성 상품 1) 금리 및 변동 여부, 중도상환수수료... 2) 상환방법에 따른 상환금액ㆍ이자율ㆍ시기 3) 저당권 등 담보권 설정에 관한 사항... 4) 대출원리금, 수수료 등 금융소비자가 대출계약을 체결하는 경우 부담하여야 하는 금액의 총액 5) 그 밖에 대출계약의 해지에 관한 사항 등 대출성 상품에 관한 중요한 사항으로서 대통령령으로 정하는 사항",loan,solicitation|contracting,required_content,must_do,needs_subrule_design,consumer_facing,high,대출성 상품에 특화된 설명의무 항목으로 중도상환수수료 및 담보권 실행 조건 등이 핵심임
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:①,law_fincpa_main_2026-01-02:제19조:①:ob05,제19조,①,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:①:연계제휴서비스,"금융상품과 연계되거나 제휴된 서비스가 있는 경우 연계·제휴 서비스의 내용, 이행책임, 제공기간 등을 설명해야 함",2. 제1호 각 목의 금융상품과 연계되거나 제휴된 금융상품 또는 서비스 등... 가. 연계ㆍ제휴서비스등의 내용 나. 연계ㆍ제휴서비스등의 이행책임에 관한 사항 다. 그 밖에 연계ㆍ제휴서비스등의 제공기간 등 연계ㆍ제휴서비스등에 관한 중요한 사항으로서 대통령령으로 정하는 사항,multiple,solicitation|contracting,required_content,must_do,needs_subrule_design,consumer_facing,high,주요 금융상품에 부가되는 연계 및 제휴 서비스에 대한 설명의무를 규정함
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:①,law_fincpa_main_2026-01-02:제19조:①:ob06,제19조,①,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:①:청약철회,"금융상품 계약 체결 권유 또는 설명 요청 시 청약 철회의 기한, 행사방법, 효과에 관한 사항을 설명해야 함",3. 제46조에 따른 청약 철회의 기한ㆍ행사방법ㆍ효과에 관한 사항,multiple,solicitation|contracting,required_content,must_do,direct_checkable,consumer_facing,high,청약철회권에 관한 공통 설명의무 사항임
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:②,law_fincpa_main_2026-01-02:제19조:②:ob02,제19조,②,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:②:02,"Obtain confirmation of understanding from the general financial consumer via signature, seal, recording, or other prescribed methods.","설명한 내용을 일반금융소비자가 이해하였음을 서명, 기명날인, 녹취 또는 그 밖에 대통령령으로 정하는 방법으로 확인을 받아야 한다.",general,solicitation|contracting,workflow_control,must_do,direct_checkable,consumer_facing,high,This requires a specific workflow control to capture and record the consumer's confirmation of understanding using legally valid methods.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:③,law_fincpa_main_2026-01-02:제19조:③:ob01,제19조,③,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:③:01,Prohibition of false or distorted explanations regarding material matters affecting consumer judgment or product value,일반금융소비자의 합리적인 판단 또는 금융상품의 가치에 중대한 영향을 미칠 수 있는 사항으로서 대통령령으로 정하는 사항을 거짓으로 또는 왜곡(...)하여 설명하거나,general,solicitation|contracting,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,Distortion includes providing conclusive judgments on uncertain matters or causing consumers to mistake them as certain.
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:③,law_fincpa_main_2026-01-02:제19조:③:ob02,제19조,③,설명의무,explanation_duty,split_unit,law_fincpa_main_2026-01-02:제19조:③:02,Prohibition of omitting important matters prescribed by Presidential Decree during explanations,대통령령으로 정하는 중요한 사항을 빠뜨려서는 아니 된다.,general,solicitation|contracting,prohibited_action,must_not_do,needs_subrule_design,consumer_facing,high,Requires cross-referencing with the Enforcement Decree to identify the specific list of important matters that must not be omitted.
high,high_priority_article|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제19조:④,law_fincpa_main_2026-01-02:제19조:④:ob01,제19조,④,설명의무,explanation_duty,single_unit,law_fincpa_main_2026-01-02:제19조:④:01,"Follow the detailed requirements for the content, delivery methods, and procedures of explanatory statements as prescribed by the Presidential Decree.",제2항에 따른 설명서의 내용 및 제공 방법ㆍ절차에 관한 세부내용은 대통령령으로 정한다.,general,contracting,workflow_control,delegated_detail,delegated_to_decree,both,high,This is a delegation clause pointing to the Presidential Decree for specific operational procedures and content requirements of explanatory statements.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제20조:①,law_fincpa_main_2026-01-02:제20조:①:ob01,제20조,①,불공정영업행위의 금지,unfair_sales_practice,split_unit,law_fincpa_main_2026-01-02:제20조:①:1,대출성 상품 등 계약 체결 시 금융소비자의 의사에 반하여 다른 금융상품 계약 체결을 강요하는 행위 금지,"대출성 상품, 그 밖에 대통령령으로 정하는 금융상품에 관한 계약체결과 관련하여 금융소비자의 의사에 반하여 다른 금융상품의 계약체결을 강요하는 행위",multiple,contracting,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,대출성 상품 및 대통령령으로 정하는 상품에 대한 꺾기(끼워팔기) 강요 행위를 금지합니다.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제20조:①,law_fincpa_main_2026-01-02:제20조:①:ob02,제20조,①,불공정영업행위의 금지,unfair_sales_practice,split_unit,law_fincpa_main_2026-01-02:제20조:①:2,대출성 상품 등 계약 체결 시 부당하게 담보나 보증을 요구하는 행위 금지,"대출성 상품, 그 밖에 대통령령으로 정하는 금융상품에 관한 계약체결과 관련하여 부당하게 담보를 요구하거나 보증을 요구하는 행위",multiple,contracting,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,부당한 담보 및 보증 요구 행위를 금지합니다.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제20조:①,law_fincpa_main_2026-01-02:제20조:①:ob03,제20조,①,불공정영업행위의 금지,unfair_sales_practice,split_unit,law_fincpa_main_2026-01-02:제20조:①:3,금융상품판매업자등 또는 임직원이 업무와 관련하여 편익을 요구하거나 제공받는 행위 금지,금융상품판매업자등 또는 그 임직원이 업무와 관련하여 편익을 요구하거나 제공받는 행위,general,all_customer_facing,prohibited_action,must_not_do,direct_checkable,internal_only,high,임직원의 사적 편익 수취 및 요구를 금지하는 내부통제 기준이 필요합니다.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제20조:①,law_fincpa_main_2026-01-02:제20조:①:ob04,제20조,①,불공정영업행위의 금지,unfair_sales_practice,split_unit,law_fincpa_main_2026-01-02:제20조:①:4:가,자기 또는 제3자의 이익을 위해 특정 대출 상환방식을 강요하는 행위 금지,자기 또는 제3자의 이익을 위하여 금융소비자에게 특정 대출 상환방식을 강요하는 행위,loan,contracting,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,대출성 상품에 한하여 특정 상환방식 강요를 금지합니다.
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제20조:①,law_fincpa_main_2026-01-02:제20조:①:ob05,제20조,①,불공정영업행위의 금지,unfair_sales_practice,split_unit,law_fincpa_main_2026-01-02:제20조:①:4:나,예외 사유에 해당하지 않는 한 중도상환수수료를 부과하는 행위 금지,"1)부터 3)까지의 경우를 제외하고 수수료, 위약금 또는 그 밖에 어떤 명목이든 중도상환수수료를 부과하는 행위",loan,contracting,prohibited_action,must_not_do,needs_subrule_design,consumer_facing,high,"대출 계약일로부터 3년 초과 시 원칙적으로 중도상환수수료 부과가 금지되며, 예외 요건을 시스템적으로 통제해야 합니다."
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제20조:①,law_fincpa_main_2026-01-02:제20조:①:ob06,제20조,①,불공정영업행위의 금지,unfair_sales_practice,split_unit,law_fincpa_main_2026-01-02:제20조:①:4:다,개인 대출 등 계약 시 제3자의 연대보증을 요구하는 행위 금지,개인에 대한 대출 등 대통령령으로 정하는 대출상품의 계약과 관련하여 제3자의 연대보증을 요구하는 경우,loan,contracting,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,개인 대출 등에서 제3자 연대보증 요구를 원칙적으로 금지합니다.
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제20조:①,law_fincpa_main_2026-01-02:제20조:①:ob07,제20조,①,불공정영업행위의 금지,unfair_sales_practice,split_unit,law_fincpa_main_2026-01-02:제20조:①:5,예외 사유 없이 연계·제휴서비스를 부당하게 축소하거나 변경하는 행위 금지,연계ㆍ제휴서비스등이 있는 경우 연계ㆍ제휴서비스등을 부당하게 축소하거나 변경하는 행위로서 대통령령으로 정하는 행위,general,all_customer_facing,prohibited_action,must_not_do,needs_subrule_design,consumer_facing,high,제휴 서비스 축소/변경 시 상응하는 대체 서비스 제공 등 예외 요건을 충족해야 합니다.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제21조,law_fincpa_main_2026-01-02:제21조:ob01,제21조,,부당권유행위 금지,improper_solicitation,split_unit,fincpa_art21_general_prohibitions,"금융상품 계약 체결 권유 시 단정적 판단 제공, 허위 사실 고지, 중요 사항 묵비, 객관적 근거 없는 비교 행위를 금지한다.",1. 불확실한 사항에 대하여 단정적 판단을 제공하거나 확실하다고 오인하게 할 소지가 있는 내용을 알리는 행위 2. 금융상품의 내용을 사실과 다르게 알리는 행위 3. 금융상품의 가치에 중대한 영향을 미치는 사항을 미리 알고 있으면서 금융소비자에게 알리지 아니하는 행위 4. 금융상품 내용의 일부에 대하여 비교대상 및 기준을 밝히지 아니하거나 객관적인 근거 없이 다른 금융상품과 비교하여 해당 금융상품이 우수하거나 유리하다고 알리는 행위,general,solicitation,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,This covers the general improper solicitation prohibitions applicable to all financial products (Items 1 through 4).
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제21조,law_fincpa_main_2026-01-02:제21조:ob02,제21조,,부당권유행위 금지,improper_solicitation,split_unit,fincpa_art21_insurance_prohibitions,보장성 상품 권유 시 소비자의 중요 사항 고지를 방해하거나 부실 고지를 권유하는 행위를 금지한다.,5. 보장성 상품의 경우 다음 각 목의 어느 하나에 해당하는 행위 가. 금융소비자가 보장성 상품 계약의 중요한 사항을 금융상품직접판매업자에게 알리는 것을 방해하거나 알리지 아니할 것을 권유하는 행위 나. 금융소비자가 보장성 상품 계약의 중요한 사항에 대하여 부실하게 금융상품직접판매업자에게 알릴 것을 권유하는 행위,insurance,solicitation,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,This applies specifically to insurance (보장성) products regarding the duty of disclosure (고지의무 방해 금지).
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제21조,law_fincpa_main_2026-01-02:제21조:ob03,제21조,,부당권유행위 금지,improper_solicitation,split_unit,fincpa_art21_investment_unsolicited_contact,"투자성 상품 권유 시 소비자의 요청 없는 실시간 대화(방문, 전화 등)를 통한 권유 행위를 금지한다.",6. 투자성 상품의 경우 다음 각 목의 어느 하나에 해당하는 행위 가. 금융소비자로부터 계약의 체결권유를 해줄 것을 요청받지 아니하고 방문ㆍ전화 등 실시간 대화의 방법을 이용하는 행위,investment,visit_sales|phone_sales,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,This restricts unsolicited real-time contact (cold calling/visiting) for investment products.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제21조,law_fincpa_main_2026-01-02:제21조:ob04,제21조,,부당권유행위 금지,improper_solicitation,split_unit,fincpa_art21_investment_refusal_persistence,투자성 상품 권유를 거부한 소비자에게 계속하여 계약 체결 권유를 하는 행위를 금지한다.,6. 투자성 상품의 경우 다음 각 목의 어느 하나에 해당하는 행위 나. 계약의 체결권유를 받은 금융소비자가 이를 거부하는 취지의 의사를 표시하였는데도 계약의 체결권유를 계속하는 행위,investment,solicitation,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,This prohibits persistent solicitation after a consumer has explicitly rejected the offer for investment products.
high,split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제21조의2:①,law_fincpa_main_2026-01-02:제21조의2:①:ob02,제21조의2,①,방문판매 및 전화권유판매 관련 준수사항,improper_solicitation,split_unit,law_fincpa_main_2026-01-02:제21조의2:①:2,Inform general consumers of the methods and procedures for exercising their right to prohibit solicitation contacts.,제1호에 따른 권리의 행사방법 및 절차,general,solicitation|visit_sales|phone_sales,required_content,must_disclose,needs_subrule_design,consumer_facing,high,Requires establishing and disclosing the specific procedures and channels through which consumers can exercise their opt-out rights.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제22조:①,law_fincpa_main_2026-01-02:제22조:①:ob01,제22조,①,금융상품등에 관한 광고 관련 준수사항,advertising_compliance,split_unit,law_fincpa_main_2026-01-02:제22조:①:01,Prohibit unauthorized entities and certain investment product agents/brokers from advertising financial products or services.,금융상품판매업자등이 아닌 자 및 투자성 상 품에 관한 금융상품판매대리ㆍ중개업자 등 대통령령으로 정하는 금융상품판매업자등은 금융 상품판매업자등의 업무에 관한 광고 또는 금융상품에 관한 광고(이하 “금융상품등에 관한 광 고”라 한다)를 해서는 아니 된다.,general|investment,advertising,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,This establishes the core prohibition on advertising for non-sales operators and specific investment agents/brokers.
high,high_priority_article|split_parent|not_direct_checkable,law_fincpa_main_2026-01-02:제22조:①,law_fincpa_main_2026-01-02:제22조:①:ob02,제22조,①,금융상품등에 관한 광고 관련 준수사항,advertising_compliance,split_unit,law_fincpa_main_2026-01-02:제22조:①:02,Permit specified financial associations and holding companies to conduct financial advertising as exceptions.,"다만, 다음 각 호의 어느 하나에 해당하는 기관(이하 “협회등 ”이라 한다), 그 밖에 금융상품판매업자등이 아닌 자로서 금융상품판매업자등을 자회사 또는 손자회사로 하는 금융지주회사 등 대통령령으로 정하는 자는 금융상품등에 관한 광고를 할 수 있다.",general,advertising,general_principle,delegated_detail,needs_subrule_design,consumer_facing,high,"This defines the legal exceptions to the advertising prohibition, listing specific financial associations and holding companies."
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제22조:③,law_fincpa_main_2026-01-02:제22조:③:ob01,제22조,③,금융상품등에 관한 광고 관련 준수사항,advertising_compliance,split_unit,law_fincpa_main_2026-01-02:제22조:③:일반_광고_필수사항,"금융상품 광고 시 계약 체결 전 설명서 및 약관 권유 문구와 판매업자 명칭, 상품 내용을 반드시 포함해야 함 (투자성 상품 광고 제외)","금융상품판매업자등이 하는 금융상품등에 관한 광고에는 다음 각 호의 내용이 포함되어 야 한다. 다만, 제17조제5항 본문에 따른 투자성 상품에 관한 광고에 대해서는 그러하지 아 니하다. 1. 금융상품에 관한 계약을 체결하기 전에 금융상품 설명서 및 약관을 읽어 볼 것을 권유하 는 내용 2. 금융상품판매업자등의 명칭, 금융상품의 내용",multiple,advertising,required_content,must_disclose,direct_checkable,consumer_facing,high,"This represents the baseline mandatory content for general financial product advertisements, excluding specific investment product advertisements governed by Article 17(5)."
